"epoch","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnext50-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","densenet121-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - _step__MAX","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MIN","resnet18-tiny_imagenet-d10-tau10.0-epoch200-lr0.1-val - acc/train__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX"
"10","51.5","50","53","0.16924430057406425","0.12395833432674408","0.21342593431472778","51.5","50","53","0.1935456618666649","0.16815641522407532","0.22490420937538147","51.5","50","53","0.21715198084712029","0.1723484843969345","0.26337099075317383","30.5","30","31","0.31663528084754944","0.30763888359069824","0.32563167810440063","30.5","30","31","0.2753126621246338","0.23754209280014038","0.3130832314491272","30.5","30","31","0.34787677228450775","0.3335542380809784","0.3621993064880371"
"11","56.5","55","58","0.1993020363152027","0.15028902888298035","0.2273603081703186","56.5","55","58","0.221051674336195","0.18666666746139526","0.2721264362335205","56.5","55","58","0.24361822754144669","0.1770833432674408","0.27346745133399963","33.5","33","34","0.35823506116867065","0.31300002336502075","0.40347009897232056","33.5","33","34","0.31742551922798157","0.27893584966659546","0.3559151887893677","33.5","33","34","0.3635350465774536","0.33714526891708374","0.3899248242378235"
"12","61.5","60","63","0.20015594735741615","0.16413256525993347","0.23000000417232513","61.5","60","63","0.19482221826910973","0.17344632744789124","0.21041665971279144","61.5","60","63","0.24670683220028877","0.22029411792755127","0.26316288113594055","36.5","36","37","0.33538496494293213","0.3240740895271301","0.34669584035873413","36.5","36","37","0.36433935165405273","0.35883334279060364","0.36984536051750183","36.5","36","37","0.37211577594280243","0.3636363446712494","0.38059520721435547"
"13","66.5","65","68","0.22629090771079063","0.2197740077972412","0.23314176499843597","66.5","65","68","0.17836865410208702","0.15685714781284332","0.20730337500572205","66.5","65","68","0.23542623221874237","0.21882882714271545","0.25276243686676025","39.5","39","40","0.3685494512319565","0.36430978775024414","0.3727891147136688","39.5","39","40","0.4155592769384384","0.3872852325439453","0.4438333213329315","39.5","39","40","0.40943877398967743","0.36666667461395264","0.4522108733654022"
"14","71.5","70","73","0.23289751634001732","0.21788389980793","0.2385057508945465","71.5","70","73","0.17375178262591362","0.15000000596046448","0.20134873688220978","71.5","70","73","0.24788986518979073","0.22418113052845","0.2614232301712036","42.5","42","43","0.4599226862192154","0.4583333432674408","0.46151202917099","42.5","42","43","0.4562831372022629","0.4512026309967041","0.46136364340782166","42.5","42","43","0.4655238687992096","0.45913106203079224","0.47191667556762695"
"15","76.5","75","78","0.23105154186487198","0.16287879645824432","0.2749042212963104","76.5","75","78","0.20471958816051483","0.18095238506793976","0.23212963342666626","76.5","75","78","0.2585555538535118","0.24242424964904785","0.27928438782691956","45.5","45","46","0.38834068179130554","0.37822777032852173","0.39845359325408936","45.5","45","46","0.40656137466430664","0.3920068144798279","0.4211159348487854","45.5","45","46","0.43298104405403137","0.40510204434394836","0.4608600437641144"
"16","81.5","80","83","0.2634999081492424","0.24487894773483276","0.2827553153038025","81.5","80","83","0.22712987661361694","0.19412879645824432","0.25512105226516724","81.5","80","83","0.27169791609048843","0.24534448981285095","0.30684006214141846","48.5","48","49","0.33396992087364197","0.3227221965789795","0.34521764516830444","48.5","48","49","0.4892055243253708","0.4727443754673004","0.5056666731834412","48.5","48","49","0.4491308629512787","0.43611109256744385","0.4621506333351135"
"17","86.5","85","88","0.29187559336423874","0.26177024841308594","0.3226190507411957","86.5","85","88","0.2472093254327774","0.22664836049079895","0.285635381937027","86.5","85","88","0.3022123649716377","0.26918062567710876","0.3252907395362854","51.5","51","52","0.447786346077919","0.4307857155799866","0.46478697657585144","51.5","51","52","0.47901323437690735","0.4382179379463196","0.5198085308074951","51.5","51","52","0.39776167273521423","0.3891904950141907","0.4063328504562378"
"18","91.5","90","93","0.2896847166121006","0.23153693974018097","0.3156130313873291","91.5","90","93","0.2595769017934799","0.24337232112884521","0.2758333683013916","91.5","90","93","0.3087380602955818","0.26396918296813965","0.34331339597702026","54.5","54","55","0.4684924930334091","0.44961127638816833","0.4873737096786499","54.5","54","55","0.4507346451282501","0.4349762201309204","0.46649307012557983","54.5","54","55","0.4247363954782486","0.39845237135887146","0.45102041959762573"
"19","96.5","95","98","0.318757139146328","0.2970883250236511","0.3328516185283661","96.5","95","98","0.2691533789038658","0.24519428610801697","0.30890804529190063","96.5","95","98","0.30540933459997177","0.28263890743255615","0.3363809287548065","57.5","57","58","0.4519755095243454","0.41371530294418335","0.49023571610450745","57.5","57","58","0.5118176341056824","0.4413120746612549","0.5823231935501099","57.5","57","58","0.5135096609592438","0.4978947639465332","0.5291245579719543"
