"epoch","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - _step__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.9 - acc/train__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-resnext50-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-resnet18-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - _step__MAX","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MIN","CMF-densenet121-cifar100-d10-tau10.0-epoch200-lr0.1-momentum-0.1 - acc/train__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnet18-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","resnext50-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - _step__MAX","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MIN","densenet121-cifar100-d10-tau10.0-epoch200-lr0.1 - acc/train__MAX"
"10","30.5","30","31","0.2785935401916504","0.2700680196285248","0.287119060754776","30.5","30","31","0.44572098553180695","0.38935860991477966","0.5020833611488342","30.5","30","31","0.321373850107193","0.31548821926116943","0.32725948095321655","30.5","30","31","0.42797620594501495","0.3637755215167999","0.49217689037323","30.5","30","31","0.6988710463047028","0.6774295568466187","0.7203125357627869","30.5","30","31","0.698153555393219","0.6889455914497375","0.7073615193367004","30.5","30","31","0.31663528084754944","0.30763888359069824","0.32563167810440063","30.5","30","31","0.2753126621246338","0.23754209280014038","0.3130832314491272","30.5","30","31","0.34787677228450775","0.3335542380809784","0.3621993064880371"
"11","33.5","33","34","0.30643734335899353","0.2840428352355957","0.32883185148239136","33.5","33","34","0.4658137410879135","0.41921427845954895","0.5124132037162781","33.5","33","34","0.3821527808904648","0.34843674302101135","0.4158688187599182","33.5","33","34","0.47673338651657104","0.4462618827819824","0.5072048902511597","33.5","33","34","0.7064991593360901","0.6708457469940186","0.7421525716781616","33.5","33","34","0.7095175981521606","0.6905381679534912","0.7284970283508301","33.5","33","34","0.35823506116867065","0.31300002336502075","0.40347009897232056","33.5","33","34","0.31742551922798157","0.27893584966659546","0.3559151887893677","33.5","33","34","0.3635350465774536","0.33714526891708374","0.3899248242378235"
"12","36.5","36","37","0.3517846167087555","0.3240237832069397","0.3795454502105713","36.5","36","37","0.463610902428627","0.44263848662376404","0.48458331823349","36.5","36","37","0.3789622485637665","0.33728957176208496","0.420634925365448","36.5","36","37","0.5468395948410034","0.5135204195976257","0.5801587700843811","36.5","36","37","0.6718073487281799","0.6645622849464417","0.6790524125099182","36.5","36","37","0.7105928063392639","0.7096209526062012","0.7115646600723267","36.5","36","37","0.33538496494293213","0.3240740895271301","0.34669584035873413","36.5","36","37","0.36433935165405273","0.35883334279060364","0.36984536051750183","36.5","36","37","0.37211577594280243","0.3636363446712494","0.38059520721435547"
"13","39.5","39","40","0.4027150720357895","0.384511798620224","0.420918345451355","39.5","39","40","0.5161581337451935","0.4741496443748474","0.5581666231155396","39.5","39","40","0.4477483034133911","0.39149659872055054","0.5040000081062317","39.5","39","40","0.6055555641651154","0.5845118165016174","0.6265993118286133","39.5","39","40","0.7379340529441833","0.7322916984558105","0.7435764074325562","39.5","39","40","0.7249362468719482","0.7104166746139526","0.7394558191299438","39.5","39","40","0.3685494512319565","0.36430978775024414","0.3727891147136688","39.5","39","40","0.4155592769384384","0.3872852325439453","0.4438333213329315","39.5","39","40","0.40943877398967743","0.36666667461395264","0.4522108733654022"
"14","42.5","42","43","0.4741220325231552","0.4389166533946991","0.5093274116516113","42.5","42","43","0.5566415786743164","0.5183333158493042","0.5949498414993286","42.5","42","43","0.4622029960155487","0.4617845118045807","0.4626214802265167","42.5","42","43","0.6469681262969971","0.6286565065383911","0.665279746055603","42.5","42","43","0.7325698435306549","0.7260203957557678","0.739119291305542","42.5","42","43","0.74966761469841","0.7283163070678711","0.771018922328949","42.5","42","43","0.4599226862192154","0.4583333432674408","0.46151202917099","42.5","42","43","0.4562831372022629","0.4512026309967041","0.46136364340782166","42.5","42","43","0.4655238687992096","0.45913106203079224","0.47191667556762695"
"15","45.5","45","46","0.4561973661184311","0.4360058307647705","0.4763889014720917","45.5","45","46","0.5421046614646912","0.5379130244255066","0.5462962985038757","45.5","45","46","0.482030987739563","0.46237850189208984","0.5016834735870361","45.5","45","46","0.699611246585846","0.6751773357391357","0.7240451574325562","45.5","45","46","0.714894711971283","0.7039426565170288","0.7258467674255371","45.5","45","46","0.7319124042987823","0.7085106372833252","0.7553141713142395","45.5","45","46","0.38834068179130554","0.37822777032852173","0.39845359325408936","45.5","45","46","0.40656137466430664","0.3920068144798279","0.4211159348487854","45.5","45","46","0.43298104405403137","0.40510204434394836","0.4608600437641144"
"16","48.5","48","49","0.445585161447525","0.4340434670448303","0.4571268558502197","48.5","48","49","0.5105889737606049","0.4928446412086487","0.528333306312561","48.5","48","49","0.4702622890472412","0.4589690566062927","0.4815555214881897","48.5","48","49","0.692778617143631","0.6812239289283752","0.7043333053588867","48.5","48","49","0.7275752425193787","0.6959473490715027","0.7592031359672546","48.5","48","49","0.7397474050521851","0.7161059379577637","0.7633888721466064","48.5","48","49","0.33396992087364197","0.3227221965789795","0.34521764516830444","48.5","48","49","0.4892055243253708","0.4727443754673004","0.5056666731834412","48.5","48","49","0.4491308629512787","0.43611109256744385","0.4621506333351135"
"17","51.5","51","52","0.4697578102350235","0.4693634510040283","0.4701521694660187","51.5","51","52","0.570238471031189","0.5488471388816833","0.5916298031806946","51.5","51","52","0.509442001581192","0.49825721979141235","0.5206267833709717","51.5","51","52","0.7389774024486542","0.730009913444519","0.7479448914527893","51.5","51","52","0.7383928894996643","0.7315724492073059","0.7452133297920227","51.5","51","52","0.7530200481414795","0.7520049810409546","0.7540351152420044","51.5","51","52","0.447786346077919","0.4307857155799866","0.46478697657585144","51.5","51","52","0.47901323437690735","0.4382179379463196","0.5198085308074951","51.5","51","52","0.39776167273521423","0.3891904950141907","0.4063328504562378"
"18","54.5","54","55","0.5485980808734894","0.5284461379051208","0.5687500238418579","54.5","54","55","0.5851956903934479","0.5626657009124756","0.6077256798744202","54.5","54","55","0.5217517912387848","0.4996032118797302","0.5439003705978394","54.5","54","55","0.712554931640625","0.7113343477249146","0.7137755155563354","54.5","54","55","0.7088860869407654","0.6903911828994751","0.7273809909820557","54.5","54","55","0.7597853243350983","0.7377443909645081","0.7818262577056885","54.5","54","55","0.4684924930334091","0.44961127638816833","0.4873737096786499","54.5","54","55","0.4507346451282501","0.4349762201309204","0.46649307012557983","54.5","54","55","0.4247363954782486","0.39845237135887146","0.45102041959762573"
"19","57.5","57","58","0.5806974172592163","0.5597643852233887","0.601630449295044","57.5","57","58","0.5948908925056458","0.5909721851348877","0.5988095998764038","57.5","57","58","0.5680871307849884","0.5590909123420715","0.5770833492279053","57.5","57","58","0.7777413725852966","0.7689236402511597","0.7865591049194336","57.5","57","58","0.7501329481601715","0.7378947734832764","0.7623711228370667","57.5","57","58","0.8040724694728851","0.7826240658760071","0.8255208730697632","57.5","57","58","0.4519755095243454","0.41371530294418335","0.49023571610450745","57.5","57","58","0.5118176341056824","0.4413120746612549","0.5823231935501099","57.5","57","58","0.5135096609592438","0.4978947639465332","0.5291245579719543"
