"epoch","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","resnext50-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","resnext50-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","densenet121-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","densenet121-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step__MIN","resnet18-face-d512-tau50.0-epoch200-lr0.1 - _step__MAX","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MIN","resnet18-face-d512-tau50.0-epoch200-lr0.1 - acc/train__MAX"
"95","2004.5","1995","2014","0.8952389657497406","0.8252788186073303","0.9444445371627808","2004.5","1995","2014","0.9100739389657975","0.8631178736686707","0.9598393440246582","1049.5","1045","1054","0.930783075094223","0.9011741280555725","0.9718309640884399"
"96","2025.5","2016","2035","0.8968009144067765","0.8539326190948486","0.9547244310379028","2025.5","2016","2035","0.9070168703794479","0.8481481075286865","0.9521912336349487","1060.5","1056","1065","0.9329402089118958","0.904296875","0.9655870199203491"
"97","2046.5","2037","2056","0.9018350064754486","0.8464419841766357","0.9525692462921143","2046.5","2037","2056","0.8966132819652557","0.8376384377479553","0.9681274890899658","1071.5","1067","1076","0.9369945228099823","0.8982558250427246","0.9631474018096924"
"98","2067.5","2058","2077","0.9130236953496933","0.8168498873710632","0.9603175520896912","2067.5","2058","2077","0.9201158970594406","0.8571428060531616","0.9681274890899658","1082.5","1078","1087","0.9398959100246429","0.8957114815711975","0.9680638909339905"
"99","2088.5","2079","2098","0.9021623760461808","0.8507462739944458","0.9525692462921143","2088.5","2079","2098","0.9081047475337982","0.8526118993759155","0.9839357137680054","1093.5","1089","1098","0.934159106016159","0.9025096893310547","0.9735772013664246"
"100","2109.5","2100","2119","0.9053636908531189","0.8426966667175293","0.9529412984848022","2109.5","2100","2119","0.9109888255596161","0.8475836515426636","0.9563493728637695","1104.5","1100","1109","0.93395636677742","0.895551323890686","0.975560188293457"
"101","2130.5","2121","2140","0.9094643324613572","0.8566038012504578","0.9624506235122681","2130.5","2121","2140","0.9080160051584244","0.8252787590026855","0.960159420967102","1115.5","1111","1120","0.9435844242572784","0.9109588861465454","0.9758551120758057"
"102","2151.5","2142","2161","0.9110397398471832","0.8283581733703613","0.9604743719100952","2151.5","2142","2161","0.9101682424545288","0.8560606241226196","0.9681274890899658","1126.5","1122","1131","0.9468975841999054","0.9176588654518127","0.9757084846496582"
"103","2172.5","2163","2182","0.9055451065301895","0.856603741645813","0.9523811340332031","2172.5","2163","2182","0.9094931870698929","0.8401486873626709","0.9621514081954956","1137.5","1133","1142","0.9419328927993774","0.919921875","0.967741847038269"
"104","2193.5","2184","2203","0.9185984194278717","0.8783783912658691","0.9759999513626099","2193.5","2184","2203","0.9187801867723465","0.8432835340499878","0.9755101203918457","1148.5","1144","1153","0.9505764484405518","0.9229249358177185","0.9838056564331055"
"105","2214.5","2205","2224","0.9089088410139083","0.8191882371902466","0.9604743123054504","2214.5","2205","2224","0.9079042971134186","0.8484848141670227","0.9682540893554688","1159.5","1155","1164","0.9350573062896729","0.9056419134140015","0.961077868938446"
"106","2235.5","2226","2245","0.9149165481328965","0.8566038012504578","0.9525692462921143","2235.5","2226","2245","0.9144490271806717","0.8511450290679932","0.95634925365448","1170.5","1166","1175","0.9496583461761474","0.9155340194702148","0.9698795080184937"
"107","2256.5","2247","2266","0.9174957931041717","0.8641510009765625","0.94921875","2256.5","2247","2266","0.9216353207826614","0.8475836515426636","0.9738955497741699","1181.5","1177","1186","0.9390822947025299","0.9222661852836609","0.9717172384262085"
"108","2277.5","2268","2287","0.9184690296649933","0.8523447513580322","0.9682540893554688","2277.5","2268","2287","0.9154005408287048","0.8421717286109924","0.9682540893554688","1192.5","1188","1197","0.9486545443534851","0.902750551700592","0.9856851100921631"
"109","2298.5","2289","2308","0.9211148381233215","0.8679245710372925","0.9679999351501465","2298.5","2289","2308","0.9234347760677337","0.8825757503509521","0.960629940032959","1203.5","1199","1208","0.9584120512008667","0.91796875","0.9836733937263489"
"110","2319.5","2310","2329","0.9173651993274688","0.8560606241226196","0.9759035706520081","2319.5","2310","2329","0.9298768967390061","0.8660377264022827","0.9679999947547913","1214.5","1210","1219","0.9496446013450622","0.9247525334358215","0.9778225421905518"
"111","2340.5","2331","2350","0.9243125885725021","0.8409091234207153","0.9919677972793579","2340.5","2331","2350","0.9203489065170288","0.8563218116760254","0.984000027179718","1225.5","1221","1230","0.9550610244274139","0.9289940595626831","0.9794238805770874"
"112","2361.5","2352","2371","0.9238275855779647","0.8716981410980225","0.9682540893554688","2361.5","2352","2371","0.9356840312480926","0.8825758099555969","0.9839999675750732","1236.5","1232","1241","0.9527358651161194","0.9261476993560791","0.9837068319320679"
"113","2382.5","2373","2392","0.9265319555997849","0.8636363744735718","0.9760956764221191","2382.5","2373","2392","0.9413073688745499","0.8792452812194824","0.9877048134803772","1247.5","1243","1252","0.958890026807785","0.9220272898674011","0.9795081615447998"
"114","2403.5","2394","2413","0.9240463435649872","0.884615421295166","0.980079710483551","2403.5","2394","2413","0.9390842109918595","0.8973384499549866","0.9761905670166016","1258.5","1254","1263","0.9588110506534576","0.927592933177948","0.9768145084381104"
"115","2424.5","2415","2434","0.9314803808927536","0.8584905862808228","0.9683794975280762","2424.5","2415","2434","0.9380339831113815","0.8812260627746582","0.9840637445449829","1269.5","1265","1274","0.9666709303855896","0.9107844829559326","0.9887754321098328"
"116","2445.5","2436","2455","0.9383961856365204","0.8859315514564514","0.9999998807907104","2445.5","2436","2455","0.9442066282033921","0.8560606241226196","0.9760956764221191","1280.5","1276","1285","0.9572444558143616","0.8978389501571655","0.9814434051513672"
"117","2466.5","2457","2476","0.9312796235084534","0.8716981410980225","0.9758064150810242","2466.5","2457","2476","0.9384371608495712","0.9000000953674316","0.9780876636505127","1291.5","1287","1296","0.9590834975242615","0.9254903793334961","0.9836065769195557"
"118","2487.5","2478","2497","0.9359584450721741","0.8787878751754761","0.986394464969635","2487.5","2478","2497","0.9409489363431931","0.8806818127632141","0.9760956764221191","1302.5","1298","1307","0.9588340759277344","0.9153542518615723","0.9918199777603149"
"119","2508.5","2499","2518","0.9395452857017517","0.8996138572692871","0.9838057160377502","2508.5","2499","2518","0.9434016972780228","0.9003831148147583","0.9781746864318848","1313.5","1309","1318","0.9681769192218781","0.9500000476837158","0.992900550365448"
"120","2529.5","2520","2539","0.9373882502317429","0.8897339105606079","0.9683794975280762","2529.5","2520","2539","0.9351978331804276","0.8679245710372925","0.9761905670166016","1324.5","1320","1329","0.9657157778739929","0.9441117644309998","0.9878048300743103"
"121","2550.5","2541","2560","0.9451762318611145","0.8850574493408203","0.9761905670166016","2550.5","2541","2560","0.9388601779937744","0.8571428060531616","0.984000027179718","1335.5","1331","1340","0.9705440282821656","0.9560878276824951","0.987704873085022"
"122","2571.5","2562","2581","0.9473840534687042","0.9000000953674316","0.9799196720123291","2571.5","2562","2581","0.946272936463356","0.8850574493408203","0.9919677972793579","1346.5","1342","1351","0.9682302355766297","0.959349513053894","0.9838056564331055"
"123","2592.5","2583","2602","0.9439284235239029","0.9034748673439026","0.9798386693000793","2592.5","2583","2602","0.9491910815238953","0.9073358774185181","0.9839357137680054","1357.5","1353","1362","0.9712326228618622","0.9425402879714966","0.987730085849762"
"124","2613.5","2604","2623","0.9458490312099457","0.8980769515037537","0.9840637445449829","2613.5","2604","2623","0.945484259724617","0.915057897567749","0.9919678568840027","1368.5","1364","1373","0.9746476352214813","0.9528112411499023","0.9918200373649597"
"125","2634.5","2625","2644","0.950125801563263","0.9066147208213806","0.9761906266212463","2634.5","2625","2644","0.9564019471406937","0.8996139168739319","0.9919677972793579","1379.5","1375","1384","0.968112462759018","0.9391217231750488","0.9999998807907104"
"126","2655.5","2646","2665","0.9518373757600784","0.9069767594337463","0.9839999675750732","2655.5","2646","2665","0.9531539231538773","0.9069766998291016","0.9919028282165527","1390.5","1386","1395","0.9731377303600312","0.9642126560211182","0.9927685260772705"
"127","2676.5","2667","2686","0.9553739607334137","0.9153846502304077","0.9919679164886475","2676.5","2667","2686","0.9514914482831955","0.9073358774185181","0.975708544254303","1401.5","1397","1406","0.9697084069252014","0.9484127759933472","0.9878295660018921"
"128","2697.5","2688","2707","0.9555200189352036","0.9244186282157898","0.9839999675750732","2697.5","2688","2707","0.9553698092699051","0.9291338324546814","0.9761905670166016","1412.5","1408","1417","0.9791692852973938","0.9691992402076721","0.9918031692504883"
"129","2718.5","2709","2728","0.9554631143808365","0.915057897567749","1","2718.5","2709","2728","0.9656364768743515","0.9372550249099731","0.984000027179718","1423.5","1419","1428","0.9800831735134125","0.9636363983154297","0.9959267377853394"
"130","2739.5","2730","2749","0.9569770634174347","0.9073358774185181","0.9919354915618896","2739.5","2730","2749","0.9510421305894852","0.9076923131942749","0.9918699264526367","1434.5","1430","1439","0.9797833323478699","0.9521912932395935","0.9958847761154175"
"131","2760.5","2751","2770","0.962214258313179","0.90234375","0.9919354915618896","2760.5","2751","2770","0.9713774710893631","0.936508059501648","1","1445.5","1441","1450","0.979210376739502","0.9707660675048828","0.9938398599624634"
"132","2781.5","2772","2791","0.9627515584230423","0.9221789240837097","0.9918698668479919","2781.5","2772","2791","0.964843574166298","0.9296875","0.9918698668479919","1456.5","1452","1461","0.9796207904815674","0.9724489450454712","0.9878542423248291"
"133","2802.5","2793","2812","0.9680278778076172","0.8946359753608704","0.9999998807907104","2802.5","2793","2812","0.9673960864543915","0.9143968820571899","0.9919028282165527","1467.5","1463","1472","0.981099796295166","0.9643585085868835","0.9958932399749756"
"134","2823.5","2814","2833","0.9695871442556381","0.921875","1","2823.5","2814","2833","0.9669138073921204","0.912109375","1","1478.5","1474","1483","0.9821966767311097","0.9634888172149658","0.9919354915618896"
"135","2844.5","2835","2854","0.9686706066131592","0.94140625","1","2844.5","2835","2854","0.9697402834892273","0.9375","0.9919679164886475","1489.5","1485","1494","0.9891322076320648","0.9797160029411316","1"
"136","2865.5","2856","2875","0.9718834668397903","0.9370078444480896","0.9920000433921814","2865.5","2856","2875","0.9744732290506363","0.9448818564414978","0.9939024448394775","1500.5","1496","1505","0.9839268684387207","0.9754601716995239","0.9919028282165527"
"137","2886.5","2877","2896","0.9691320985555649","0.9362549781799316","0.9919999837875366","2886.5","2877","2896","0.9681909948587417","0.930232584476471","0.9999999403953552","1511.5","1507","1516","0.9871362805366516","0.972000002861023","1"
"138","2907.5","2898","2917","0.9788515567779541","0.9521912336349487","1","2907.5","2898","2917","0.9678327769041062","0.9444445371627808","0.9919677972793579","1522.5","1518","1527","0.9903237283229828","0.9759519100189209","0.9999998807907104"
"139","2928.5","2919","2938","0.9745559543371201","0.9446640610694885","0.9919999837875366","2928.5","2919","2938","0.9723382085561753","0.9450981616973877","0.9919999837875366","1533.5","1529","1538","0.9897741138935089","0.9799599647521973","0.9999998807907104"
"140","2949.5","2940","2959","0.9773565232753754","0.9462151527404785","0.9940000176429749","2949.5","2940","2959","0.9791809380054474","0.9294118881225586","1","1544.5","1540","1549","0.9893010079860687","0.9837067723274231","0.9999998807907104"
"141","2970.5","2961","2980","0.9691519439220428","0.9296875","1","2970.5","2961","2980","0.9746974855661392","0.9372550249099731","0.9919999837875366","1555.5","1551","1560","0.9889322459697724","0.9714868068695068","1.000000238418579"
"142","2991.5","2982","3001","0.9774046659469604","0.9333334565162659","1","2991.5","2982","3001","0.974981164932251","0.930232584476471","0.9919999837875366","1566.5","1562","1571","0.9827204883098603","0.9716598987579346","0.9959015846252441"
"143","3012.5","3003","3022","0.9772917717695236","0.9448819160461426","1","3012.5","3003","3022","0.9797013431787491","0.9525692462921143","0.9999999403953552","1577.5","1573","1582","0.9863990008831024","0.9758064150810242","0.9959431886672974"
"144","3033.5","3024","3043","0.9825904726982116","0.9678714275360107","1","3033.5","3024","3043","0.9813358277082443","0.9527559280395508","1","1588.5","1584","1593","0.9845055103302002","0.9776875972747803","0.9917355179786682"
"145","3054.5","3045","3064","0.9848303079605103","0.9681274890899658","1","3054.5","3045","3064","0.9846437036991119","0.9677419066429138","1","1599.5","1595","1604","0.9910574555397034","0.975659191608429","0.9959267377853394"
"146","3075.5","3066","3085","0.9876261442899704","0.9604743719100952","1","3075.5","3066","3085","0.9862253278493881","0.9604743123054504","1","1610.5","1606","1615","0.9949075818061829","0.9878542423248291","1"
"147","3096.5","3087","3106","0.9867218852043151","0.9603176116943359","0.9999999403953552","3096.5","3087","3106","0.9859613656997681","0.9624506235122681","1","1621.5","1617","1626","0.9970332026481629","0.9949392676353455","1.0000001192092896"
"148","3117.5","3108","3127","0.9834589928388595","0.9313726425170898","1","3117.5","3108","3127","0.9853128254413605","0.960629940032959","1","1632.5","1628","1637","0.9988783597946167","0.9959099888801575","1.0000001192092896"
"149","3138.5","3129","3148","0.9848348945379257","0.968000054359436","0.9999999403953552","3138.5","3129","3148","0.9827328979969024","0.9604743719100952","1","1643.5","1639","1648","0.9984704196453095","0.9959182739257812","1.0000001192092896"
"150","3159.5","3150","3169","0.9878751486539841","0.9721115827560425","1","3159.5","3150","3169","0.9786642074584961","0.960159420967102","0.9999999403953552","1654.5","1650","1659","1.0000000059604646","0.9999999403953552","1.0000001192092896"
"151","3180.5","3171","3190","0.9862646341323853","0.9599999785423279","1","3180.5","3171","3190","0.9878520131111145","0.9604743123054504","1","1665.5","1661","1670","1","0.9999999403953552","1.0000001192092896"
"152","3201.5","3192","3211","0.992674931883812","0.9760956764221191","1","3201.5","3192","3211","0.9933828055858612","0.9682540893554688","1","1676.5","1672","1681","0.9999999940395355","0.9999998807907104","1.0000001192092896"
"153","3222.5","3213","3232","0.9955804079771042","0.9681274890899658","1","3222.5","3213","3232","0.9951644688844681","0.9838056564331055","1","1687.5","1683","1692","0.9999999701976776","0.9999998807907104","1"
"154","3243.5","3234","3253","0.9952559918165207","0.9839357137680054","1","3243.5","3234","3253","0.9987935125827789","0.9919354319572449","1","1698.5","1694","1703","0.9999999821186065","0.9999998807907104","1.0000001192092896"
"155","3264.5","3255","3274","0.9971870303153991","0.9839357137680054","1","3264.5","3255","3274","0.999198368191719","0.9919678568840027","1","1709.5","1705","1714","0.9999999523162841","0.9999998807907104","1"
"156","3285.5","3276","3295","0.9971950471401214","0.9760956764221191","1","3285.5","3276","3295","0.9991935074329377","0.9919028282165527","1","1720.5","1716","1725","0.9999999761581421","0.9999999403953552","1"
"157","3306.5","3297","3316","0.9975805550813674","0.9918698668479919","1","3306.5","3297","3316","0.9995967358350754","0.9919354319572449","1","1731.5","1727","1736","0.9999999761581421","0.9999998807907104","1.0000001192092896"
"158","3327.5","3318","3337","0.9909828662872314","0.9682540893554688","1","3327.5","3318","3337","0.996167454123497","0.9838709831237793","1.0000001192092896","1742.5","1738","1747","0.9999999821186065","0.9999998807907104","1.0000001192092896"
"159","3348.5","3339","3358","0.9773086607456207","0.9249012470245361","1","3348.5","3339","3358","0.9571876227855682","0.8593156337738037","0.9919354915618896","1753.5","1749","1758","0.9999999701976776","0.9999998807907104","1"
"160","3369.5","3360","3379","0.9824038833379746","0.960159420967102","1","3369.5","3360","3379","0.9467551797628403","0.9034748673439026","0.9760000109672546","1764.5","1760","1769","0.9999999701976776","0.9999998807907104","1"
"161","3390.5","3381","3400","0.9963902682065964","0.9760000705718994","1","3390.5","3381","3400","0.9919787764549255","0.9757084846496582","1","1775.5","1771","1780","1.0000000059604646","0.9999999403953552","1.0000001192092896"
"162","3411.5","3402","3421","0.9995983630418778","0.9919677972793579","1","3411.5","3402","3421","0.9973821997642517","0.9919028282165527","1","1786.5","1782","1791","1.000000011920929","0.9999998807907104","1.0000001192092896"
"163","3432.5","3423","3442","0.9995983511209487","0.9919677972793579","1","3432.5","3423","3442","0.9995917916297913","0.991836667060852","1","1797.5","1793","1802","0.9999999940395355","0.9999998807907104","1.0000001192092896"
"164","3453.5","3444","3463","0.9995967388153076","0.9919354319572449","1","3453.5","3444","3463","0.9999999672174453","0.9999999403953552","1","1808.5","1804","1813","0.9999999761581421","0.9999998807907104","1.0000001192092896"
"165","3474.5","3465","3484","0.9999999821186065","0.9999998807907104","1","3474.5","3465","3484","0.9999999821186065","0.9999998807907104","1","1819.5","1815","1824","0.9999999940395355","0.9999999403953552","1"
"166","3495.5","3486","3505","0.9995934575796127","0.9918698072433472","1","3495.5","3486","3505","0.9999999612569809","0.9999998807907104","1","1830.5","1826","1835","0.9999999821186065","0.9999999403953552","1"
"167","3516.5","3507","3526","0.9999999731779099","0.9999998807907104","1","3516.5","3507","3526","0.9999999731779099","0.9999998807907104","1","1841.5","1837","1846","1","0.9999999403953552","1.0000001192092896"
"168","3537.5","3528","3547","0.9995967507362366","0.9919354915618896","1","3537.5","3528","3547","0.9999999761581421","0.9999998807907104","1","1852.5","1848","1857","0.9999999940395355","0.9999999403953552","1"
"169","3558.5","3549","3568","0.9999999761581421","0.9999998807907104","1","3558.5","3549","3568","0.9999999761581421","0.9999998807907104","1","1863.5","1859","1868","0.9999999821186065","0.9999998807907104","1.0000001192092896"
"170","3579.5","3570","3589","0.9999999791383744","0.9999998807907104","1","3579.5","3570","3589","0.9999999791383744","0.9999998807907104","1","1874.5","1870","1879","0.9999999880790711","0.9999998807907104","1.0000001192092896"
"171","3600.5","3591","3610","0.9999999850988388","0.9999999403953552","1","3600.5","3591","3610","0.9999999850988388","0.9999999403953552","1","1885.5","1881","1890","0.9999999701976776","0.9999999403953552","1"
"172","3621.5","3612","3631","0.9999999642372132","0.9999998807907104","1.0000001192092896","3621.5","3612","3631","0.9999999642372132","0.9999998807907104","1.0000001192092896","1896.5","1892","1901","0.9999999821186065","0.9999998807907104","1"
"173","3642.5","3633","3652","0.9999999761581421","0.9999999403953552","1","3642.5","3633","3652","0.9999999761581421","0.9999999403953552","1","1907.5","1903","1912","0.9999999940395355","0.9999998807907104","1.0000001192092896"
"174","3663.5","3654","3673","0.9999999642372132","0.9999998807907104","1","3663.5","3654","3673","0.9999999642372132","0.9999998807907104","1","1918.5","1914","1923","0.9999999821186065","0.9999999403953552","1"
"175","3684.5","3675","3694","0.9999999701976776","0.9999998807907104","1","3684.5","3675","3694","0.9999999701976776","0.9999998807907104","1","1929.5","1925","1934","0.9999999821186065","0.9999998807907104","1"
"176","3705.5","3696","3715","0.9999999761581421","0.9999999403953552","1","3705.5","3696","3715","0.9999999761581421","0.9999999403953552","1","1940.5","1936","1945","0.9999999642372132","0.9999998807907104","1"
"177","3726.5","3717","3736","0.9999999672174453","0.9999998807907104","1","3726.5","3717","3736","0.9999999672174453","0.9999998807907104","1","1951.5","1947","1956","0.9999999761581421","0.9999998807907104","1"
"178","3747.5","3738","3757","0.9999999791383744","0.9999998807907104","1","3747.5","3738","3757","0.9999999791383744","0.9999998807907104","1","1962.5","1958","1967","0.9999999582767487","0.9999998807907104","1"
"179","3768.5","3759","3778","0.9999999731779099","0.9999998807907104","1","3768.5","3759","3778","0.9999999731779099","0.9999998807907104","1","1973.5","1969","1978","1.0000000059604646","0.9999998807907104","1.0000001192092896"
"180","3789.5","3780","3799","0.9999999791383744","0.9999998807907104","1","3789.5","3780","3799","0.9999999791383744","0.9999998807907104","1","1984.5","1980","1989","0.9999999582767487","0.9999998807907104","1"
"181","3810.5","3801","3820","0.9999999791383744","0.9999999403953552","1","3810.5","3801","3820","0.9999999791383744","0.9999999403953552","1","1995.5","1991","2000","0.9999999880790711","0.9999999403953552","1"
"182","3831.5","3822","3841","0.9999999731779099","0.9999998807907104","1","3831.5","3822","3841","0.9999999731779099","0.9999998807907104","1","2006.5","2002","2011","0.9999999880790711","0.9999999403953552","1"
"183","3852.5","3843","3862","0.9999999731779099","0.9999999403953552","1","3852.5","3843","3862","0.9999999731779099","0.9999999403953552","1","2017.5","2013","2022","0.9999999940395355","0.9999998807907104","1.0000001192092896"
"184","3873.5","3864","3883","0.9999999642372132","0.9999998807907104","1","3873.5","3864","3883","0.9999999642372132","0.9999998807907104","1","2028.5","2024","2033","0.9999999523162841","0.9999998807907104","1"
"185","3894.5","3885","3904","0.9999999552965164","0.9999998807907104","1","3894.5","3885","3904","0.9999999552965164","0.9999998807907104","1","2039.5","2035","2044","1.0000000178813935","0.9999998807907104","1.000000238418579"
"186","3915.5","3906","3925","0.9999999672174453","0.9999998807907104","1","3915.5","3906","3925","0.9999999672174453","0.9999998807907104","1","2050.5","2046","2055","0.9999999761581421","0.9999998807907104","1"
"187","3936.5","3927","3946","0.9999999642372132","0.9999998807907104","1.0000001192092896","3936.5","3927","3946","0.9999999642372132","0.9999998807907104","1.0000001192092896","2061.5","2057","2066","1","0.9999999403953552","1.0000001192092896"
"188","3957.5","3948","3967","0.9999999642372132","0.9999998807907104","1","3957.5","3948","3967","0.9999999642372132","0.9999998807907104","1","2072.5","2068","2077","0.9999999880790711","0.9999999403953552","1"
"189","3978.5","3969","3988","0.9999999761581421","0.9999998807907104","1","3978.5","3969","3988","0.9999999761581421","0.9999998807907104","1","2083.5","2079","2088","1.0000000059604646","0.9999999403953552","1.0000001192092896"
"190","3999.5","3990","4009","0.9999999791383744","0.9999998807907104","1","3999.5","3990","4009","0.9999999791383744","0.9999998807907104","1","2094.5","2090","2099","1.0000000059604646","0.9999998807907104","1.000000238418579"
"191","4020.5","4011","4030","0.9999999672174453","0.9999999403953552","1","4020.5","4011","4030","0.9999999672174453","0.9999999403953552","1","2105.5","2101","2110","1.000000011920929","0.9999999403953552","1.0000001192092896"
"192","4041.5","4032","4051","0.9999999761581421","0.9999998807907104","1","4041.5","4032","4051","0.9999999761581421","0.9999998807907104","1","2116.5","2112","2121","0.9999999821186065","0.9999998807907104","1"
"193","4062.5","4053","4072","0.9999999642372132","0.9999998807907104","1","4062.5","4053","4072","0.9999999642372132","0.9999998807907104","1","2127.5","2123","2132","1.0000000059604646","0.9999999403953552","1.0000001192092896"
"194","4083.5","4074","4093","0.9999999850988388","0.9999998807907104","1","4083.5","4074","4093","0.9999999850988388","0.9999998807907104","1","2138.5","2134","2143","1","0.9999999403953552","1.0000001192092896"
"195","4104.5","4095","4114","0.9999999791383744","0.9999998807907104","1","4104.5","4095","4114","0.9999999791383744","0.9999998807907104","1","2149.5","2145","2154","1.000000011920929","0.9999999403953552","1.0000001192092896"
"196","4125.5","4116","4135","0.9999999672174453","0.9999998807907104","1","4125.5","4116","4135","0.9999999672174453","0.9999998807907104","1","2160.5","2156","2165","1.000000011920929","0.9999999403953552","1.0000001192092896"
"197","4146.5","4137","4156","0.9999999761581421","0.9999998807907104","1","4146.5","4137","4156","0.9999999761581421","0.9999998807907104","1","2171.5","2167","2176","1","0.9999999403953552","1.0000001192092896"
"198","4167.5","4158","4177","0.9999999701976776","0.9999998807907104","1","4167.5","4158","4177","0.9999999701976776","0.9999998807907104","1","2182.5","2178","2187","1","0.9999999403953552","1.0000001192092896"
"199","4188.5","4179","4198","0.9999999731779099","0.9999998807907104","1","4188.5","4179","4198","0.9999999731779099","0.9999998807907104","1","2193.5","2189","2198","1","0.9999999403953552","1.0000001192092896"
